schedule,thread,time_s,iters
static,0,11.921360,36800
static,1,11.883920,41600
static,2,11.972195,36000
static,3,11.845661,41600
static,4,11.851967,36000
static,5,11.903706,41600
static,6,11.822686,36000
static,7,11.930412,42400
static,8,11.943969,42400
static,9,11.832865,41600
static,10,11.926266,42400
static,11,11.936956,41600
static_32,0,7.441219,37600
static_32,1,7.472061,41600
static_32,2,7.463304,40800
static_32,3,7.439551,40800
static_32,4,7.426626,40800
static_32,5,7.424521,37600
static_32,6,7.481634,38400
static_32,7,7.490198,41600
static_32,8,7.454806,40800
static_32,9,7.450549,37600
static_32,10,7.462423,40800
static_32,11,7.426426,41600
static_4,0,6.973177,42400
static_4,1,6.910297,37600
static_4,2,6.953343,40000
static_4,3,6.961638,41600
static_4,4,6.902722,40000
static_4,5,6.970900,38400
static_4,6,6.960273,40000
static_4,7,6.904587,40000
static_4,8,6.903177,37600
static_4,9,6.935206,41600
static_4,10,6.975873,38400
static_4,11,6.972893,42400
dynamic,0,7.265387,40800
dynamic,1,7.234193,40800
dynamic,2,7.238683,37600
dynamic,3,7.269919,38400
dynamic,4,7.242326,40800
dynamic,5,7.275660,38400
dynamic,6,7.258198,41600
dynamic,7,7.222484,40800
dynamic,8,7.223498,40800
dynamic,9,7.265810,40800
dynamic,10,7.239076,37600
dynamic,11,7.249279,41600
dynamic_32,0,6.900082,40800
dynamic_32,1,6.956337,40800
dynamic_32,2,6.940184,37600
dynamic_32,3,6.950648,38400
dynamic_32,4,6.926607,41600
dynamic_32,5,6.928868,40800
dynamic_32,6,6.921534,41600
dynamic_32,7,6.949027,38400
dynamic_32,8,6.935319,38400
dynamic_32,9,6.952512,41600
dynamic_32,10,6.902675,40000
dynamic_32,11,6.858438,40000
dynamic_4,0,7.163271,37600
dynamic_4,1,7.121598,40800
dynamic_4,2,7.127605,41600
dynamic_4,3,7.098503,40800
dynamic_4,4,7.133039,40800
dynamic_4,5,7.150982,37600
dynamic_4,6,7.170995,42400
dynamic_4,7,7.112990,41600
dynamic_4,8,7.119455,40800
dynamic_4,9,7.107153,38400
dynamic_4,10,7.143889,41600
dynamic_4,11,7.099351,36000
guided,0,7.014536,39200
guided,1,7.000446,40800
guided,2,7.016013,38400
guided,3,7.030604,41600
guided,4,7.058900,38400
guided,5,6.994332,39200
guided,6,7.044788,41600
guided,7,7.040091,38400
guided,8,7.033420,41600
guided,9,7.054982,42400
guided,10,7.057835,38400
guided,11,7.051655,40000
