version,label,threads,schedule,w,h,spp,time_s,time_par_s,checksum
csv,seq,1,default,800,600,32,54.037815,54.036920,320908.622698
csv,seq,1,default,800,600,32,54.329292,54.328293,320908.622698
csv,seq,1,default,800,600,32,53.632491,53.631589,320908.622698
csv,seq,1,default,800,600,32,53.551736,53.550753,320908.622698
csv,seq,1,default,800,600,32,54.269648,54.268750,320908.622698
csv,seq,1,default,800,600,32,53.893123,53.891987,320908.622698
csv,seq,1,default,800,600,32,56.206209,56.205165,320908.622698
csv,seq,1,default,800,600,32,54.591050,54.590048,320908.622698
csv,seq,1,default,800,600,32,53.954303,53.953086,320908.622698
csv,seq,1,default,800,600,32,53.753765,53.752746,320908.622698
csv,omp_t2,2,dynamic_4,800,600,32,28.412187,28.411254,320908.622698
csv,omp_t2,2,dynamic_4,800,600,32,28.125772,28.124888,320908.622698
csv,omp_t2,2,dynamic_4,800,600,32,28.283772,28.282860,320908.622698
csv,omp_t2,2,dynamic_4,800,600,32,28.153871,28.152899,320908.622698
csv,omp_t2,2,dynamic_4,800,600,32,28.319366,28.318378,320908.622698
csv,omp_t2,2,dynamic_4,800,600,32,28.461806,28.460906,320908.622698
csv,omp_t2,2,dynamic_4,800,600,32,30.418304,30.417376,320908.622698
csv,omp_t2,2,dynamic_4,800,600,32,29.382023,29.380967,320908.622698
csv,omp_t2,2,dynamic_4,800,600,32,29.202050,29.201024,320908.622698
csv,omp_t2,2,dynamic_4,800,600,32,28.523140,28.522213,320908.622698
csv,omp_t4,4,dynamic_4,800,600,32,15.306894,15.305845,320908.622698
csv,omp_t4,4,dynamic_4,800,600,32,16.770946,16.768717,320908.622698
csv,omp_t4,4,dynamic_4,800,600,32,16.012881,16.011747,320908.622698
csv,omp_t4,4,dynamic_4,800,600,32,15.728267,15.727342,320908.622698
csv,omp_t4,4,dynamic_4,800,600,32,16.851084,16.849905,320908.622698
csv,omp_t4,4,dynamic_4,800,600,32,16.332243,16.331228,320908.622698
csv,omp_t4,4,dynamic_4,800,600,32,16.929302,16.928121,320908.622698
csv,omp_t4,4,dynamic_4,800,600,32,16.791749,16.789987,320908.622698
csv,omp_t4,4,dynamic_4,800,600,32,16.067727,16.066684,320908.622698
csv,omp_t4,4,dynamic_4,800,600,32,16.267778,16.261847,320908.622698
csv,omp_t6,6,dynamic_4,800,600,32,11.377471,11.376216,320908.622698
csv,omp_t6,6,dynamic_4,800,600,32,10.873893,10.872560,320908.622698
csv,omp_t6,6,dynamic_4,800,600,32,12.057184,12.050641,320908.622698
csv,omp_t6,6,dynamic_4,800,600,32,10.947697,10.943061,320908.622698
csv,omp_t6,6,dynamic_4,800,600,32,10.511811,10.510669,320908.622698
csv,omp_t6,6,dynamic_4,800,600,32,10.526277,10.525295,320908.622698
csv,omp_t6,6,dynamic_4,800,600,32,10.530453,10.529249,320908.622698
csv,omp_t6,6,dynamic_4,800,600,32,10.942811,10.941020,320908.622698
csv,omp_t6,6,dynamic_4,800,600,32,11.012220,11.010847,320908.622698
csv,omp_t6,6,dynamic_4,800,600,32,11.008866,11.007765,320908.622698
csv,omp_t8,8,dynamic_4,800,600,32,8.626877,8.625672,320908.622698
csv,omp_t8,8,dynamic_4,800,600,32,8.790479,8.789419,320908.622698
csv,omp_t8,8,dynamic_4,800,600,32,9.031788,9.030197,320908.622698
csv,omp_t8,8,dynamic_4,800,600,32,8.787351,8.786258,320908.622698
csv,omp_t8,8,dynamic_4,800,600,32,8.868846,8.867674,320908.622698
csv,omp_t8,8,dynamic_4,800,600,32,8.930560,8.929446,320908.622698
csv,omp_t8,8,dynamic_4,800,600,32,8.703727,8.702743,320908.622698
csv,omp_t8,8,dynamic_4,800,600,32,8.812275,8.811306,320908.622698
csv,omp_t8,8,dynamic_4,800,600,32,8.610166,8.609076,320908.622698
csv,omp_t8,8,dynamic_4,800,600,32,8.348606,8.347637,320908.622698
csv,omp_t10,10,dynamic_4,800,600,32,7.550373,7.549228,320908.622698
csv,omp_t10,10,dynamic_4,800,600,32,7.377777,7.376644,320908.622698
csv,omp_t10,10,dynamic_4,800,600,32,6.990746,6.989646,320908.622698
csv,omp_t10,10,dynamic_4,800,600,32,7.226696,7.225404,320908.622698
csv,omp_t10,10,dynamic_4,800,600,32,7.671718,7.670548,320908.622698
csv,omp_t10,10,dynamic_4,800,600,32,7.412559,7.410934,320908.622698
csv,omp_t10,10,dynamic_4,800,600,32,7.646136,7.645057,320908.622698
csv,omp_t10,10,dynamic_4,800,600,32,7.312724,7.311742,320908.622698
csv,omp_t10,10,dynamic_4,800,600,32,7.312202,7.310736,320908.622698
csv,omp_t10,10,dynamic_4,800,600,32,7.467591,7.466418,320908.622698
csv,omp_t12,12,dynamic_4,800,600,32,7.259926,7.258373,320908.622698
csv,omp_t12,12,dynamic_4,800,600,32,7.390665,7.389379,320908.622698
csv,omp_t12,12,dynamic_4,800,600,32,7.846313,7.845165,320908.622698
csv,omp_t12,12,dynamic_4,800,600,32,7.351229,7.350071,320908.622698
csv,omp_t12,12,dynamic_4,800,600,32,7.113434,7.112419,320908.622698
csv,omp_t12,12,dynamic_4,800,600,32,6.477424,6.476373,320908.622698
csv,omp_t12,12,dynamic_4,800,600,32,6.882326,6.881248,320908.622698
csv,omp_t12,12,dynamic_4,800,600,32,7.261661,7.260519,320908.622698
csv,omp_t12,12,dynamic_4,800,600,32,7.726161,7.724926,320908.622698
csv,omp_t12,12,dynamic_4,800,600,32,6.456217,6.455244,320908.622698
